student_idx,success,p_original,p_counterfactual,n_features_changed,cost_sd,recourse
383,False,0.9839,0.9774,3,1.25,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; BELONG +0.50 SD
384,False,0.8878,0.5196,4,4.5,ANXMAT -2.25 SD; TEACHSUP +0.75 SD; BELONG +1.25 SD; ICTHOME +0.25 SD
385,False,0.9673,0.8702,2,1.007,BELONG +1.00 SD; ICTHOME +0.01 SD
386,False,0.8927,0.7697,3,1.75,ANXMAT -0.75 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
387,False,0.8875,0.8699,2,0.75,ANXMAT -0.25 SD; ICTHOME +0.50 SD
389,True,0.7094,0.4011,2,1.75,ANXMAT -0.50 SD; BELONG +1.25 SD
391,False,0.913,0.791,1,1.5,BELONG +1.50 SD
392,False,0.9637,0.9323,1,1.5,ANXMAT -1.50 SD
393,False,0.8296,0.6626,2,1.5,ANXMAT -1.00 SD; BELONG +0.50 SD
394,False,0.625,0.6208,1,0.25,ANXMAT -0.25 SD
395,False,0.8556,0.631,3,2.886,ANXMAT -1.25 SD; TEACHSUP +1.63 SD; ICTHOME +0.01 SD
396,False,0.6033,0.5834,1,0.25,TEACHSUP +0.25 SD
397,True,0.4998,0.4253,1,0.25,ANXMAT -0.25 SD
398,False,0.8796,0.8737,1,0.5,TEACHSUP +0.50 SD
399,False,0.824,0.824,0,0.0,(already below threshold)
400,False,0.9845,0.9024,3,3.007,ANXMAT -1.00 SD; BELONG +2.00 SD; ICTHOME +0.01 SD
401,False,0.7188,0.6804,2,0.257,ANXMAT -0.25 SD; ICTHOME +0.01 SD
403,True,0.4586,0.4081,1,0.25,ANXMAT -0.25 SD
405,False,0.6486,0.5752,2,0.5,BELONG +0.25 SD; ICTSCH +0.25 SD
407,False,0.6952,0.6208,3,0.507,ANXMAT -0.25 SD; ICTHOME +0.01 SD; ICTSCH +0.25 SD
408,False,0.9001,0.896,2,0.507,ICTHOME +0.01 SD; ICTSCH +0.50 SD
410,False,0.8215,0.6843,3,1.316,ANXMAT -0.25 SD; BELONG +1.00 SD; ICTSCH +0.07 SD
412,False,0.8476,0.6341,2,1.5,ANXMAT -1.00 SD; BELONG +0.50 SD
413,False,0.9404,0.8037,3,1.647,ANXMAT -1.00 SD; TEACHSUP +0.15 SD; BELONG +0.50 SD
414,False,0.8281,0.5062,3,2.25,ANXMAT -1.50 SD; BELONG +0.50 SD; ICTSCH +0.25 SD
415,False,0.7438,0.4529,4,1.007,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
417,False,0.8211,0.7963,1,1.102,TEACHSUP +1.10 SD
419,False,0.7919,0.7804,2,0.75,ANXMAT -0.25 SD; TEACHSUP +0.50 SD
420,False,0.9325,0.5805,3,4.25,ANXMAT -2.00 SD; TEACHSUP +0.25 SD; ICTHOME +2.00 SD
422,True,0.6575,0.4254,1,0.75,ANXMAT -0.75 SD
424,False,0.8749,0.844,3,0.75,ANXMAT -0.25 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD
425,False,0.6143,0.6143,0,0.0,(already below threshold)
426,True,0.5905,0.4098,3,1.75,ANXMAT -0.25 SD; TEACHSUP +1.25 SD; ICTHOME +0.25 SD
427,False,0.9093,0.8269,3,2.257,ANXMAT -2.00 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
428,False,0.8775,0.8447,2,1.0,ANXMAT -0.50 SD; ICTHOME +0.50 SD
430,False,0.8277,0.6599,1,1.0,TEACHSUP +1.00 SD
431,False,0.9457,0.8663,3,2.257,ANXMAT -0.75 SD; TEACHSUP +1.50 SD; ICTHOME +0.01 SD
434,False,0.7547,0.733,1,0.25,TEACHSUP +0.25 SD
435,False,0.6914,0.5068,2,1.5,ANXMAT -1.25 SD; BELONG +0.25 SD
437,False,0.7775,0.4839,3,3.0,ANXMAT -2.50 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD
438,True,0.8539,0.4239,2,1.5,ANXMAT -1.00 SD; BELONG +0.50 SD
439,True,0.534,0.3752,2,1.0,ANXMAT -0.75 SD; TEACHSUP +0.25 SD
441,False,0.757,0.4521,2,2.75,ANXMAT -1.75 SD; BELONG +1.00 SD
443,True,0.7319,0.4095,3,2.257,ANXMAT -1.75 SD; BELONG +0.50 SD; ICTHOME +0.01 SD
446,False,0.8028,0.6501,3,1.5,ANXMAT -0.50 SD; BELONG +0.50 SD; ICTSCH +0.50 SD
447,False,0.9106,0.859,1,0.75,ANXMAT -0.75 SD
448,True,0.6125,0.4332,2,1.25,ANXMAT -0.75 SD; BELONG +0.50 SD
449,False,0.6715,0.6098,1,1.5,ANXMAT -1.50 SD
450,False,0.9277,0.8184,2,1.75,ANXMAT -0.75 SD; BELONG +1.00 SD
451,False,0.8668,0.6037,2,2.0,ANXMAT -1.25 SD; BELONG +0.75 SD
452,True,0.6282,0.3964,1,0.5,ANXMAT -0.50 SD
453,False,0.9277,0.888,1,1.0,TEACHSUP +1.00 SD
455,False,0.8275,0.8196,2,0.257,TEACHSUP +0.25 SD; ICTHOME +0.01 SD
456,False,0.7602,0.4483,4,2.25,ANXMAT -1.00 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD; ICTSCH +0.25 SD
458,False,0.7399,0.5029,2,0.5,ANXMAT -0.25 SD; BELONG +0.25 SD
459,False,0.5936,0.4647,3,1.053,ANXMAT -0.75 SD; BELONG +0.25 SD; ICTSCH +0.05 SD
460,True,0.7573,0.433,2,2.0,ANXMAT -1.50 SD; BELONG +0.50 SD
462,False,0.6331,0.5598,3,0.757,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; ICTHOME +0.01 SD
463,False,0.9056,0.8646,2,1.141,TEACHSUP +1.10 SD; ICTSCH +0.04 SD
464,False,0.8642,0.8536,2,0.75,ANXMAT -0.25 SD; TEACHSUP +0.50 SD
465,True,0.462,0.4053,1,0.25,ANXMAT -0.25 SD
466,True,0.7315,0.4318,1,1.25,BELONG +1.25 SD
468,False,0.9454,0.4921,2,4.5,ANXMAT -3.00 SD; BELONG +1.50 SD
469,False,0.7872,0.6045,3,1.257,ANXMAT -0.50 SD; TEACHSUP +0.75 SD; ICTHOME +0.01 SD
471,False,0.8044,0.7683,2,0.5,ANXMAT -0.25 SD; BELONG +0.25 SD
473,False,0.7036,0.5981,4,1.0,ANXMAT -0.25 SD; TEACHSUP +0.25 SD; ICTHOME +0.25 SD; ICTSCH +0.25 SD
474,False,0.9046,0.8753,2,1.0,ANXMAT -0.50 SD; BELONG +0.50 SD
475,False,0.7365,0.5073,3,2.25,ANXMAT -1.25 SD; TEACHSUP +0.25 SD; ICTSCH +0.75 SD
476,False,0.9191,0.6993,3,2.5,ANXMAT -1.50 SD; TEACHSUP +0.50 SD; BELONG +0.50 SD
477,False,0.8764,0.7686,2,0.628,BELONG +0.50 SD; ICTSCH +0.13 SD
479,False,0.9485,0.7918,4,3.257,ANXMAT -2.00 SD; TEACHSUP +0.50 SD; BELONG +0.75 SD; ICTHOME +0.01 SD
480,False,0.8424,0.7177,3,2.007,ANXMAT -1.50 SD; BELONG +0.50 SD; ICTHOME +0.01 SD
481,False,0.65,0.65,0,0.0,(already below threshold)
483,False,0.8193,0.5902,5,2.102,ANXMAT -1.25 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD; ICTHOME +0.01 SD; ICTSCH +0.10 SD
484,False,0.7286,0.6764,1,0.25,ANXMAT -0.25 SD
485,False,0.7981,0.7613,2,0.75,TEACHSUP +0.50 SD; BELONG +0.25 SD
486,True,0.8522,0.4157,3,2.0,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; BELONG +1.25 SD
487,True,0.833,0.4322,5,3.0,ANXMAT -1.00 SD; TEACHSUP +0.25 SD; BELONG +1.25 SD; ICTHOME +0.25 SD; ICTSCH +0.25 SD
488,False,0.9347,0.9212,2,0.271,ANXMAT -0.02 SD; BELONG +0.25 SD
489,True,0.5918,0.4214,1,0.75,ANXMAT -0.75 SD
490,False,0.9492,0.8378,3,2.5,ANXMAT -0.50 SD; TEACHSUP +1.00 SD; BELONG +1.00 SD
491,False,0.8861,0.7596,3,1.75,ANXMAT -0.50 SD; TEACHSUP +1.00 SD; BELONG +0.25 SD
495,True,0.5451,0.2925,1,0.5,ANXMAT -0.50 SD
496,True,0.4352,0.4057,1,0.25,BELONG +0.25 SD
497,False,0.9745,0.9328,2,1.5,TEACHSUP +0.75 SD; BELONG +0.75 SD
498,True,0.4532,0.4082,1,0.25,ANXMAT -0.25 SD
499,False,0.9072,0.8316,3,2.0,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; BELONG +1.25 SD
502,True,0.8434,0.4222,3,2.569,ANXMAT -1.75 SD; BELONG +0.75 SD; ICTHOME +0.07 SD
503,False,0.9004,0.5403,4,3.007,ANXMAT -0.50 SD; BELONG +2.00 SD; ICTHOME +0.01 SD; ICTSCH +0.50 SD
504,False,0.8765,0.7602,3,3.926,ANXMAT -2.68 SD; TEACHSUP +0.50 SD; BELONG +0.75 SD
506,False,0.9471,0.8972,2,1.75,ANXMAT -1.50 SD; BELONG +0.25 SD
507,False,0.9385,0.832,3,2.602,ANXMAT -1.25 SD; TEACHSUP +1.10 SD; BELONG +0.25 SD
508,False,0.855,0.7918,2,0.66,ANXMAT -0.50 SD; ICTSCH +0.16 SD
510,False,0.9205,0.9172,1,0.007,ICTHOME +0.01 SD
511,False,0.8071,0.6747,4,1.224,ANXMAT -0.50 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD; ICTSCH +0.22 SD
512,False,0.5855,0.5613,1,0.25,TEACHSUP +0.25 SD
514,False,0.9341,0.6856,1,1.0,TEACHSUP +1.00 SD
515,False,0.902,0.8772,2,0.75,TEACHSUP +0.25 SD; BELONG +0.50 SD
517,False,0.9234,0.7055,3,1.0,ANXMAT -0.50 SD; BELONG +0.25 SD; ICTHOME +0.25 SD
518,True,0.6243,0.4136,1,1.25,ANXMAT -1.25 SD
520,False,0.8269,0.8042,1,0.25,BELONG +0.25 SD
521,False,0.6904,0.678,1,0.25,ANXMAT -0.25 SD
523,True,0.7077,0.4001,4,5.5,ANXMAT -2.25 SD; TEACHSUP +0.25 SD; BELONG +1.75 SD; ICTHOME +1.25 SD
525,True,0.844,0.4008,1,1.0,ANXMAT -1.00 SD
527,False,0.8436,0.7544,3,2.25,ANXMAT -1.25 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
530,False,0.9811,0.9562,3,1.0,TEACHSUP +0.25 SD; BELONG +0.50 SD; ICTHOME +0.25 SD
531,True,0.5751,0.4147,1,0.5,BELONG +0.50 SD
534,False,0.9186,0.8312,2,3.0,ANXMAT -2.00 SD; TEACHSUP +1.00 SD
535,False,0.834,0.7079,2,1.5,ANXMAT -1.25 SD; TEACHSUP +0.25 SD
536,False,0.6518,0.6269,2,0.75,TEACHSUP +0.25 SD; BELONG +0.50 SD
537,True,0.6004,0.4309,4,1.378,ANXMAT -0.75 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD; ICTSCH +0.13 SD
538,True,0.5514,0.4172,1,0.5,ANXMAT -0.50 SD
540,False,0.9818,0.9818,0,0.0,(already below threshold)
541,False,0.8889,0.8675,2,1.0,TEACHSUP +0.50 SD; BELONG +0.50 SD
542,False,0.8073,0.6445,3,2.628,ANXMAT -2.00 SD; BELONG +0.50 SD; ICTSCH +0.13 SD
544,False,0.8796,0.8737,1,0.5,TEACHSUP +0.50 SD
545,False,0.8762,0.7949,2,2.0,TEACHSUP +0.75 SD; BELONG +1.25 SD
547,False,0.9624,0.9376,3,1.007,ANXMAT -0.25 SD; TEACHSUP +0.75 SD; ICTHOME +0.01 SD
548,True,0.7727,0.4234,2,1.25,ANXMAT -1.00 SD; BELONG +0.25 SD
549,False,0.9959,0.9667,4,2.5,ANXMAT -1.00 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD; ICTHOME +0.75 SD
551,False,0.8395,0.688,4,2.0,ANXMAT -1.00 SD; TEACHSUP +0.25 SD; BELONG +0.50 SD; ICTHOME +0.25 SD
552,False,0.9547,0.8208,3,1.75,ANXMAT -1.00 SD; TEACHSUP +0.25 SD; BELONG +0.50 SD
554,False,0.9438,0.9301,1,1.0,TEACHSUP +1.00 SD
